9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.027    0.000    8.968    0.009 io_controller.py:86(run)
      894    0.027    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       13    0.025    0.002    0.119    0.009 enum.py:451(<listcomp>)
      574    0.025    0.000    0.054    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    338/5    0.024    0.000    3.400    0.680 <frozen importlib._bootstrap>:650(_load_unlocked)
     2411    0.024    0.000    0.024    0.000 {method 'pop' of 'dict' objects}
     1000    0.023    0.000    0.033    0.000 selectors.py:268(close)
     2000    0.023    0.000    0.023    0.000 {method 'fileno' of '_io.BufferedWriter' objects}
     1001    0.022    0.000    0.031    0.000 subprocess.py:935(__del__)
      298    0.022    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     2002    0.022    0.000    0.022    0.000 simpledimple.py:21(simple_generator)
     1924    0.022    0.000    0.033    0.000 {built-in method builtins.setattr}
     2322    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
     1006    0.022    0.000    0.036    0.000 abc.py:96(__instancecheck__)
     2000    0.021    0.000    0.021    0.000 {method 'fileno' of '_io.BufferedReader' objects}
      162    0.021    0.000    0.039    0.000 sre_compile.py:276(_optimize_charset)
     1001    0.021    0.000    0.061    0.000 subprocess.py:1759(_try_wait)
     2000    0.020    0.000    0.020    0.000 {method 'register' of 'select.poll' objects}
    350/5    0.020    0.000    3.426    0.685 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1010    0.019    0.000    0.021    0.000 {built-in method builtins.sorted}
     1000    0.019    0.000    0.052    0.000 selectors.py:202(__exit__)
     2000    0.019    0.000    0.019    0.000 {method 'unregister' of 'select.poll' objects}
     2002    0.019    0.000    0.019    0.000 subprocess.py:1724(_internal_poll)
     2002    0.019    0.000    0.019    0.000 {method 'pop' of 'collections.deque' objects}
      996    0.019    0.000    0.028    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1001    0.019    0.000    0.029    0.000 subprocess.py:1048(poll)
     1946    0.019    0.000    0.019    0.000 {built-in method _imp.release_lock}
  485/159    0.018    0.000    0.027    0.000 sre_parse.py:174(getwidth)
      996    0.018    0.000    0.027    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1946    0.018    0.000    0.018    0.000 {built-in method _imp.acquire_lock}
      596    0.017    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1765    0.017    0.000    0.017    0.000 {built-in method _thread.allocate_lock}
      335    0.017    0.000    0.208    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      824    0.016    0.000    0.025    0.000 sre_parse.py:160(__len__)
      298    0.015    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    368/1    0.015    0.000   15.373   15.373 {built-in method builtins.exec}
   180/60    0.015    0.000    0.398    0.007 sre_parse.py:435(_parse_sub)
     1586    0.015    0.000    0.015    0.000 {method 'isupper' of 'str' objects}
      376    0.015    0.000    0.025    0.000 <frozen importlib._bootstrap>:176(cb)
