multi-process
fuzzer-multi-pls-bro
         1675627 function calls (1390308 primitive calls) in 52.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1586    0.014    0.000    0.014    0.000 {method 'isupper' of 'str' objects}
       13    0.014    0.001    0.014    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      384    0.014    0.000    0.024    0.000 <frozen importlib._bootstrap>:176(cb)
    373/1    0.013    0.000   52.589   52.589 {built-in method builtins.exec}
      824    0.013    0.000    0.020    0.000 sre_parse.py:160(__len__)
   180/60    0.013    0.000    0.337    0.006 sre_parse.py:435(_parse_sub)
      582    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:103(release)
      582    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:78(acquire)
       12    0.012    0.001    0.012    0.001 {built-in method posix.sendfile}
      343    0.012    0.000    0.021    0.000 enum.py:12(_is_descriptor)
     1356    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
  319/102    0.012    0.000    1.870    0.018 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1021    0.012    0.000    0.015    0.000 sre_parse.py:249(match)
      500    0.011    0.000    0.016    0.000 enum.py:368(__setattr__)
      144    0.011    0.000    5.675    0.039 cyclic.py:51(cyclic)
      627    0.011    0.000    0.016    0.000 sre_parse.py:172(append)
      378    0.011    0.000    0.017    0.000 socket.py:86(<lambda>)
      377    0.011    0.000    0.017    0.000 socket.py:81(<lambda>)
      384    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap>:58(__init__)
      566    0.010    0.000    0.015    0.000 sre_parse.py:286(tell)
      372    0.010    0.000    0.060    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1190    0.010    0.000    0.010    0.000 {built-in method _thread.get_ident}
      631    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap>:389(parent)
      319    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      379    0.010    0.000    0.017    0.000 socket.py:91(<lambda>)
      525    0.010    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    303/7    0.009    0.000    2.962    0.423 <frozen importlib._bootstrap_external>:777(exec_module)
      319    0.009    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      303    0.009    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      376    0.009    0.000    0.015    0.000 socket.py:76(<lambda>)
      319    0.009    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
     1040    0.009    0.000    0.009    0.000 {built-in method posix.fspath}
      478    0.009    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      303    0.009    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      622    0.009    0.000    0.088    0.000 <frozen importlib._bootstrap>:376(cached)
    477/7    0.008    0.000    2.956    0.422 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      415    0.008    0.000    0.012    0.000 enum.py:20(_is_dunder)
      210    0.008    0.000    0.031    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      948    0.008    0.000    0.008    0.000 {built-in method builtins.min}
  596/298    0.008    0.000    0.008    0.000 __init__.py:83(__missing__)
      670    0.008    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       60    0.008    0.000    0.037    0.001 sre_compile.py:536(_compile_info)
      909    0.008    0.000    0.008    0.000 {built-in method from_bytes}
      770    0.007    0.000    0.007    0.000 {built-in method builtins.chr}
      415    0.007    0.000    0.011    0.000 enum.py:28(_is_sunder)
      789    0.007    0.000    0.007    0.000 {built-in method _thread.allocate_lock}
      372    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap>:151(__exit__)
      162    0.007    0.000    0.013    0.000 sre_compile.py:249(_compile_charset)
      486    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0xabff60}
       16    0.007    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
      345    0.006    0.000    0.010    0.000 typing.py:643(_is_dunder)
      144    0.006    0.000    0.009    0.000 cyclic.py:335(_join_sequence)
      329    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:800(find_spec)
      167    0.006    0.000    0.563    0.003 re.py:287(_compile)
      329    0.006    0.000    0.695    0.002 <frozen importlib._bootstrap_external>:1334(find_spec)
      303    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        4    0.006    0.001    0.020    0.005 io_controller.py:29(test_csv)
       47    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
      303    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      307    0.006    0.000    0.019    0.000 __init__.py:127(__getitem__)
        1    0.006    0.006    0.015    0.015 binary.py:1(<module>)
      345    0.006    0.000    0.016    0.000 typing.py:759(__setattr__)
      307    0.006    0.000    0.024    0.000 __init__.py:170(fget)
      262    0.006    0.000    0.009    0.000 {method 'extend' of 'list' objects}
      318    0.005    0.000    0.008    0.000 sre_parse.py:81(groups)
      307    0.005    0.000    0.013    0.000 {method '__getitem__' of 'dict' objects}
      508    0.005    0.000    0.005    0.000 {method 'get' of 'mappingproxy' objects}
      145    0.005    0.000    0.008    0.000 cyclic.py:14(de_bruijn)
       15    0.005    0.000    0.140    0.009 enum.py:381(_create_)
      583    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
      575    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       60    0.005    0.000    0.546    0.009 sre_compile.py:759(compile)
      522    0.005    0.000    0.005    0.000 {method 'find' of 'bytearray' objects}
      510    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
       48    0.005    0.000    0.024    0.001 typing.py:656(__init__)
      352    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:725(find_spec)
      257    0.004    0.000    0.007    0.000 encoder.py:107(<genexpr>)
      472    0.004    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
      531    0.004    0.000    0.004    0.000 {built-in method builtins.ord}
       60    0.004    0.000    0.008    0.000 registers.py:138(__init__)
        6    0.004    0.001    0.046    0.008 shutil.py:231(copyfile)
        4    0.004    0.001    0.004    0.001 {built-in method posix.fork}
      409    0.004    0.000    0.004    0.000 sre_parse.py:111(__init__)
