multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    0.015    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      382    0.014    0.000    0.024    0.000 <frozen importlib._bootstrap>:176(cb)
      824    0.013    0.000    0.020    0.000 sre_parse.py:160(__len__)
   180/60    0.013    0.000    0.342    0.006 sre_parse.py:435(_parse_sub)
      580    0.013    0.000    0.018    0.000 <frozen importlib._bootstrap>:78(acquire)
     1586    0.013    0.000    0.013    0.000 {method 'isupper' of 'str' objects}
      580    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:103(release)
   314/97    0.012    0.000    1.843    0.019 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1021    0.012    0.000    0.015    0.000 sre_parse.py:249(match)
     1352    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
      343    0.011    0.000    0.019    0.000 enum.py:12(_is_descriptor)
      500    0.011    0.000    0.015    0.000 enum.py:368(__setattr__)
      627    0.010    0.000    0.016    0.000 sre_parse.py:172(append)
      613    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:389(parent)
     1177    0.010    0.000    0.010    0.000 {built-in method _thread.get_ident}
      370    0.010    0.000    0.060    0.000 <frozen importlib._bootstrap>:147(__enter__)
      382    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap>:58(__init__)
      317    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      523    0.010    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      566    0.010    0.000    0.014    0.000 sre_parse.py:286(tell)
      317    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      376    0.009    0.000    0.016    0.000 socket.py:76(<lambda>)
      301    0.009    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      317    0.009    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        8    0.009    0.001    0.009    0.001 {built-in method posix.chmod}
    301/5    0.009    0.000    3.020    0.604 <frozen importlib._bootstrap_external>:777(exec_module)
     1034    0.009    0.000    0.009    0.000 {built-in method posix.fspath}
      618    0.009    0.000    0.089    0.000 <frozen importlib._bootstrap>:376(cached)
      948    0.009    0.000    0.009    0.000 {built-in method builtins.min}
      668    0.009    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
    475/5    0.009    0.000    3.019    0.604 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      301    0.008    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      378    0.008    0.000    0.014    0.000 socket.py:86(<lambda>)
      377    0.008    0.000    0.014    0.000 socket.py:81(<lambda>)
      900    0.008    0.000    0.008    0.000 {method 'decode' of 'bytearray' objects}
      476    0.008    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      415    0.008    0.000    0.011    0.000 enum.py:20(_is_dunder)
      379    0.008    0.000    0.013    0.000 socket.py:91(<lambda>)
        4    0.008    0.002    0.029    0.007 io_controller.py:29(test_csv)
      210    0.008    0.000    0.030    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      903    0.008    0.000    0.008    0.000 {built-in method from_bytes}
      162    0.007    0.000    0.013    0.000 sre_compile.py:249(_compile_charset)
        8    0.007    0.001    0.085    0.011 shutil.py:231(copyfile)
      415    0.007    0.000    0.011    0.000 enum.py:28(_is_sunder)
      480    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0xabff60}
       60    0.007    0.000    0.036    0.001 sre_compile.py:536(_compile_info)
      345    0.007    0.000    0.011    0.000 typing.py:643(_is_dunder)
      777    0.007    0.000    0.007    0.000 {built-in method _thread.allocate_lock}
       47    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
      370    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap>:151(__exit__)
       16    0.007    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
      167    0.007    0.000    0.568    0.003 re.py:287(_compile)
      327    0.006    0.000    0.718    0.002 <frozen importlib._bootstrap_external>:1334(find_spec)
      345    0.006    0.000    0.018    0.000 typing.py:759(__setattr__)
      262    0.006    0.000    0.010    0.000 {method 'extend' of 'list' objects}
      301    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      301    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        1    0.006    0.006    0.018    0.018 binary.py:1(<module>)
      770    0.006    0.000    0.006    0.000 {built-in method builtins.chr}
      327    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:800(find_spec)
      318    0.006    0.000    0.008    0.000 sre_parse.py:81(groups)
       48    0.005    0.000    0.028    0.001 typing.py:656(__init__)
        4    0.005    0.001    0.006    0.001 {built-in method posix.fork}
      581    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
       60    0.005    0.000    0.009    0.000 registers.py:138(__init__)
      522    0.005    0.000    0.005    0.000 {method 'find' of 'bytearray' objects}
      507    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
       15    0.005    0.000    0.128    0.009 enum.py:381(_create_)
      573    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       60    0.005    0.000    0.551    0.009 sre_compile.py:759(compile)
       72    0.005    0.000    2.647    0.037 cyclic.py:51(cyclic)
      256    0.005    0.000    0.005    0.000 binary.py:4(int_to_bin)
        1    0.005    0.005    0.012    0.012 six.py:21(<module>)
      165    0.005    0.000    0.015    0.000 sre_compile.py:423(_simple)
      508    0.005    0.000    0.005    0.000 {method 'get' of 'mappingproxy' objects}
       38    0.004    0.000    5.837    0.154 __init__.py:1(<module>)
      350    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:725(find_spec)
      388    0.004    0.000    0.004    0.000 __init__.py:385(<genexpr>)
      133    0.004    0.000    0.007    0.000 sre_parse.py:355(_escape)
      352    0.004    0.000    0.004    0.000 py3compat.py:30(int2byte)
      531    0.004    0.000    0.004    0.000 {built-in method builtins.ord}
      409    0.004    0.000    0.004    0.000 sre_parse.py:111(__init__)
       99    0.004    0.000    0.010    0.000 sre_parse.py:84(opengroup)
      416    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
  308/154    0.004    0.000    0.004    0.000 __init__.py:83(__missing__)
      388    0.004    0.000    0.004    0.000 {built-in method sys.intern}
      257    0.004    0.000    0.005    0.000 encoder.py:107(<genexpr>)
      370    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:143(__init__)
      353    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
        8    0.004    0.000    0.004    0.000 {built-in method posix.fstat}
      376    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      274    0.004    0.000    0.011    0.000 {method 'update' of 'dict' objects}
      418    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
    82/56    0.003    0.000    0.005    0.000 sre_compile.py:461(_get_literal_prefix)
       12    0.003    0.000    0.006    0.001 datetime.py:488(__new__)
      301    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
       72    0.003    0.000    0.005    0.000 cyclic.py:335(_join_sequence)
      388    0.003    0.000    0.003    0.000 {method '__contains__' of 'frozenset' objects}
   110/25    0.003    0.000    2.133    0.085 {built-in method builtins.__import__}
